Professor Name,Profile URL
Dr Keshavamurthy B N,https://nitgoa.irins.org/profile/141227
Dr Veena Thenkanidiyoor,https://nitgoa.irins.org/profile/141226
Dr S Mini,https://nitgoa.irins.org/profile/141223
Ms Samrudhi Bhausaheb Desai,https://nitgoa.irins.org/profile/490649
Mrs SREEDIVYA  I,https://nitgoa.irins.org/profile/490706
Dr Pravati Swain,https://nitgoa.irins.org/profile/141224
Dr Venkatanareshbabu Kuppili,https://nitgoa.irins.org/profile/119541
Dr Purushothama B R,https://nitgoa.irins.org/profile/141222
Ms Pratima Chatterjee,https://nitgoa.irins.org/profile/367803
