Title,Authors
"Secure data deduplication using secret sharing schemes over cloud","Priyanka Singh, Nishant Agarwal, Balasubramanian Raman"
"SOFIM: Stochastic Optimization Using Regularized Fisher Information Matrix","C Gayathri, Mrinmay Sen, A Kai Qin, Yen-Wei Chen, Balasubramanian Raman"
"LOCAL AND GLOBAL DESCRIPTORS USING WAVELET BASED FEATURES FOR IMAGE RETRIEVAL","Anil Balaji Gonde"
"Reversible data hiding based on Shamir’s secret sharing for color images over cloud","Priyanka Singh, Balasubramanian Raman"
"Classification of COVID-19 from chest x-ray images using deep features and correlation coefficient","Rahul Kumar, Ridhi Arora, Vipul Bansal, Vinodh J Sahayasheela, Himanshu Buckchash, Javed Imran, Narayanan Narayanan, Ganesh N Pandian, Balasubramanian Raman"
"On demand routing protocols for mobile ad hoc networks: A review","Nidhi S Kulkarni, Indra Gupta, Balasubramanian Raman"
"Deep belief network for smoke detection","Arun Singh Pundir, Balasubramanian Raman"
"Detection of seal and signature entities with hierarchical recovery based on watermark self embedding in tampered digital documents","Priyanka Singh, Balasubramanian Raman, Partha Pratim Roy"
"A VC (2, 2) based Blind Watermarking Scheme for Rightful Ownership Protection","A Rani, R Balasubramanian, S Kumar"
"Biometric template security based on watermarking","Gaurav Bhatnagar, QM Jonathan Wu, Balasubramanian Raman"
"Neuro-phone: An assistive framework to operate Smartphone using EEG signals","Pradeep Kumar, Rajkumar Saini, Pawan Kumar Sahu, Partha Pratim Roy, Debi Prosad Dogra, Raman Balasubramanian"
"A new SVD based Watermarking Framework in Fractional Fourier Domain","Gaurav Bhatnagar, Balasubramanian Raman"
"EMPHASIZED DIGITAL WATERMARKING ON SINGULAR VALUE DECOMPOSITION IN FREQUENCY DOMAIN","Gaurav Bhatnagar"
"A Tensorial Perspective to Deep Learning","Pradeep Singh, Balasubramanian Raman"
"Image/Video Processing","D Ghadiyaram, J Pan, AC Bovik, AK Moorthy, P Panda, KC Yang, Q Wu, H Li, KN Ngan, K Ma, K Makantasis, A Nikitakis, AD Doulamis, ND Doulamis, I Papaefstathiou, P Singh, B Raman, N Agarwal"
"A hybrid of deep learning and hand-crafted features based approach for snow cover mapping","Rahul Nijhawan, Josodhir Das, Balasubramanian Raman"
"Dual tree fractional quaternion wavelet transform for disparity estimation","Sanoj Kumar, Sanjeev Kumar, Nagarajan Sukavanam, Balasubramanian Raman"
"Towards effective classification of brain hemorrhagic and ischemic stroke using CNN","Anjali Gautam, Balasubramanian Raman"
"Graph Neural Networks: Extending Deep Learning to Graphs","Pradeep Singh, Balasubramanian Raman"
"A new fractional random wavelet transform for fingerprint security","Gaurav Bhatnagar, QM Jonathan Wu, Balasubramanian Raman"
"Image and video encryption based on dual space-filling curves","Gaurav Bhatnagar, QM Jonathan Wu, Balasubramanian Raman"
"Facial emotion classification using concatenated geometric and textural features","Debashis Sen, Samyak Datta, Raman Balasubramanian"
"Feature extraction and identification of Indian currency notes","Snigdha Kamal, Simarpreet Singh Chawla, Nidhi Goel, Balasubramanian Raman"
"On the benefit of combining neural, statistical and external features for fake news identification","Gaurav Bhatt, Aman Sharma, Shivam Sharma, Ankush Nagpal, Balasubramanian Raman, Ankush Mittal"
"N/A","N/A"
"A new robust logo-watermarking scheme based on Image Fusion","Gaurav Bhatnagar, Balasubramanian Raman"
"WALCOM: Algorithms and Computation","Satoshi Fujita"
"building blocks","Pradeep Singh, Balasubramanian Raman"
"Reconstruction of 3D Plane using Min-Max Approach","Gaurav Gupta, Balasubramanian Raman, Rama Bhargava"
"N/A","N/A"
"Efficient extraction of consistent bit locations from binarized iris features","Debanjan Sadhya, Kanjar De, Balasubramanian Raman, Partha Pratim Roy"
"DFTQuake: Tripartite Fourier attention and dendrite network for real-time early prediction of earthquake magnitude and peak ground acceleration","Anushka Joshi, Nithya Reddy Vedium, Balasubramanian Raman"
"Reconstruction of 3-D Quadratic Curves From Arbitrary Perspective Views","Sukhendu Das and K. Swaminathan 69. R. Balasubramanian"
"Deep motion templates and extreme learning machine for sign language recognition","Javed Imran, Balasubramanian Raman"
"Deep Learning Through the Prism of Tensors","Pradeep Singh, Balasubramanian Raman"
"Spatial Resolution Enhancement Mapping of Hyperspectral Image via Pixel Filling Algorithm","N Prabhu, Manoj K Arora, R Balasubramanian"
"A fractional order total variation model for the estimation of optical flow","Pushpendra Kumar, Sanjeev Kumar, R Balasubramanian"
"Evaluation of periocular features for kinship verification in the wild","Bhavik Patel, RP Maheshwari, Balasubramanian Raman"
"Intelligent Computing and Applications: Proceedings of ICDIC 2020","B Narendra Kumar Rao, Raman Balasubramanian, Shiuh-Jeng Wang, Richi Nayak"
"Computing hierarchical curve-skeletons of 3D objects","Nicu D Cornea, Deborah Silver, Xiaosong Yuan, Raman Balasubramanian"
"Multimedia encryption: a brief overview","Nidhi S Kulkarni, Balasubramanian Raman, Indra Gupta"
"A Reference Watermarking Scheme for Color Images Using Discrete Wavelet Transform and Singular Value Decomposition","Ravinder Katta, Himanshu Agarwal, Balasubramanian Raman"
"Hybrid fusion based interpretable multimodal emotion recognition with insufficient labelled data","Puneet Kumar, Sarthak Malik, Balasubramanian Raman"
