Title,Authors
"Computational Models for Academic Performance Estimation","Vipul Bansal, Himanshu Buckchash, Balasubramanian Raman"
"IMAGE ANALYSIS IN MATERIALS AND LIFE SCIENCES Proceedings of SCIAMAL-99, November 7-10, 1999, Kalpakkam, India.","R Balasubramanian, Sukhendu Das, K Swaminathan"
"BUS-Net: Breast tumour detection network for ultrasound images using bi-directional convlstm and dense residual connections","Ridhi Arora, Balasubramanian Raman"
"A hybrid approach for the delineation of brain lesion from CT images","Anjali Gautam, Balasubramanian Raman, Shailendra Raghuvanshi"
"Object tracking using joint histogram of color and local rhombus pattern","Manisha Verma, Balasubramanian Raman"
"Fire Detection Model Using Deep Learning Techniques","Arun Singh Pundir, Balasubramanian Raman"
"Recognizing human gestures using a novel SVM tree","Hitesh Jain, Abhik Chatterjee, Sanjeev Kumar, Balasubramanian Raman"
"FusedNet Model for Varietal Classification of Rice Seeds","Balasubramanian Raman, Indra Gupta, Neerja Garg"
"A machine learning framework for security and privacy issues in building trust for social networking","Robin Singh Bhadoria, Naman Bhoj, Manoj Kumar Srivastav, Rahul Kumar, Balasubramanian Raman"
"Dual watermarking scheme via sub-sampling in WPT-SVD domain","Gaurav Bhatnagar, Balasubramanian Raman"
"CryptoCT: towards privacy preserving color transfer and storage over cloud","Amitesh Singh Rajput, Balasubramanian Raman"
"Study of finite word–length effect on the performance of watermarking methods","Himanshu Agarwal, Balasubramanian Raman"
"Sustained self-supervised pretraining for temporal order verification","Himanshu Buckchash, Balasubramanian Raman"
"An automatic personalized photo recommender system based on learning user preferences","Sweta Arya, Debashis Sen, Balasubramanian Raman"
"Three-stream spatio-temporal attention network for first-person action and interaction recognition","Javed Imran, Balasubramanian Raman"
"An image copyright protection system using chaotic maps","Asha Rani, Balasubramanian Raman"
"Self-supervised and Unsupervised Learning in Deep Learning","Pradeep Singh, Balasubramanian Raman"
"An integrated approach for prediction of magnitude using deep learning techniques","Anushka Joshi, Balasubramanian Raman, C Krishna Mohan"
"A publicly verifiable lossless watermarking scheme for copyright protection and ownership assertion","Sanjay Rawat, Balasubramanian Raman"
"Auto-wcebleedgen version v1 and v2: Challenge, datasets and evaluation","Misa Hub, Palak Handa, Divyansh Nautiyal, Deepti Chhabra, Manas Dhir, Anushka Saini, Shreshtha Jha, Harshita Mangotra, Nishu Pandey, Advika Thakur, Tanisha Singh, Charvi Bansal, Nikita Garg, Jyoti Dhatarwal, Prakriti Maurya, Balasubramanian Raman, Nidhi Goel, Mohammed Tabish, Rajat Bansal, Syed Ahmad, Deepak Gunjan"
"Multimodal Emotion Recognition & Affective Feedback Synthesis (ICVGIP 2021 Doctoral Symposium)","Puneet Kumar, Balasubramanian Raman"
"Vector ordering based multimodal video skimming for user videos","VK Vivekraj, Debashis Sen, R Balasubramanian"
"An efficient approach for skin lesion segmentation using dermoscopic images: A deep learning approach","Kishore Babu Nampalle, Balasubramanian Raman"
"Predicting diabetes mellitus using data mining techniques","J Steffi, R Balasubramanian, Mr K Aravind Kumar"
"A new feature for image retrieval using atrous wavelet transform and textons","Anil Balaji Gonde, RP Maheshwari, R Balasubramanian"
"Analysis of comparators for binary watermarks","Himanshu Agarwal, Balasubramanian Raman, Pradeep K Atrey, Mohan Kankanhalli"
"Acoustic features fusion using attentive multi-channel deep architecture","Gaurav Bhatt, Akshita Gupta, Aditya Arora, Balasubramanian Raman"
"Error analysis in the reconstruction of a parabola in 3D from two arbitrary perspective views","Ashutosh Shukla, Abhinav Saxena, Bhavesh Neekhra, Raman Balasubramanian, Krishnan Swaminathan"
"Visually Aware Metadata-Guided Supervision for Improved Skin Lesion Classification Using Deep Learning","Balasubramanian Raman"
"Proposed hybrid-classifier ensemble algorithm to map snow cover area","Rahul Nijhawan, Balasubramanian Raman, Josodhir Das"
"Discriminative auto-encoding for classification and representation learning problems","Vipul Bansal, Himanshu Buckchash, Balasubramanian Raman"
"An ICA Mixture Model Based Approach for Sub-pixel Classification of Hyperspectral Data","N Prabhu, Manoj K Arora, R Balasubramanian, Kapil Gupta"
"Vector R-ordering based selection of segments for video skimming","Raman Balasubramanian, Debashis Sen"
"AN INTRODUCTION TO VARIOUS APPROACHES OF DATA ACQUISITION: APPLICATION IN CITY MODELING","Asha Rani, Balasubramanian Raman, Rama Bhargava"
"A computer vision framework for detecting and preventing human-elephant collisions","Pushkar Shukla, Isha Dua, Balasubramanian Raman, Ankush Mittal"
"Multi-quantized local binary patterns for facial gender classification","Bhavik Patel, RP Maheshwari, R Balasubramanian"
"Representation learning using step-based deep multi-modal autoencoders","Gaurav Bhatt, Piyush Jha, Balasubramanian Raman"
"CGHF: A computational decision support system for glioma classification using hybrid radiomics-and stationary wavelet-based features","Rahul Kumar, Ankur Gupta, Harkirat Singh Arora, Ganesh Namasivayam Pandian, Balasubramanian Raman"
"A correlogram algorithm for image indexing and retrieval using wavelet and rotated wavelet filters","Murala Subrahmanyam, RP Maheshwari, R Balasubramanian"
"SHELBRS: Location-based recommendation services using switchable homomorphic encryption","Mishel Jain, Priyanka Singh, Balasubramanian Raman"
"Prediction of advertisement preference by fusing EEG response and sentiment analysis","Himaanshu Gauba, Pradeep Kumar, Partha Pratim Roy, Priyanka Singh, Debi Prosad Dogra, Balasubramanian Raman"
"Chaos based joint compression and encryption framework for end‐to‐end communication systems","Nidhi Goel, Balasubramanian Raman, Indra Gupta"
"Stereo image coding via digital watermarking","Gaurav Bhatnagar, Sanjeev Kumar, Balasubramanian Raman, Nagarajan Sukavanam"
"Integrating geometric and textural features for facial emotion classification using SVM frameworks","Samyak Datta, Debashis Sen, Raman Balasubramanian"
