Faculty Name,Citation Link
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:xtoqd-5pKcoC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:aqlVkmm33-oC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:UeHWp8X0CEIC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:KaMxkj08jr0C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:WzTVkKNmPSkC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:vVJNg6_NJEsC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:YlPif8NxrbYC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:sJK75vZXtG0C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:eO3_k5sD8BwC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:kWvqk_afx_IC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:E7VqQtBCVmcC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:d1gkVwhDpl0C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:jFemdcug13IC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:C33y2ycGS3YC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:xyvS_IvSCKsC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:M3ejUd6NZC8C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:HhcuHIWmDEUC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:0KyAp5RtaNEC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:raTqNPD5sRQC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:AFXcoJnoRH0C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:Wq2b2clWBLsC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:qE4H1tSSYIIC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:Ug5p-4gJ2f0C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&citation_for_view=QU2O6JMAAAAJ:Og1tA8FjbJAC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:WIXB4To3Tx4C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:kNdYIx-mwKoC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:W5xh706n7nkC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:AYInfyleIOsC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:6yz0xqPARnAC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:-nhnvRiOwuoC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:WbkHhVStYXYC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:nrtMV_XWKgEC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:j7_hQOaDUrUC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:pUxgyZctzPYC
