IIT Roorkee,https://iitr.irins.org/faculty/index/Computer+Science+and+Engineering, Computer Science and Engineering
NIT Goa,https://nitgoa.irins.org/faculty/index/Department+of+Computer+Science+and+Engineering, Computer Science and Engineering
